method,count,total_time,execution_time,execution_count
fit_ellipse,3142,0.10637903213500977,0.002165555953979492,44
transform_ellipses_to_circle_1,130,0.8006711006164551,0.06088137626647949,10
dbscan_clustering,970,327.815500497818,6.97851824760437,19
find_center,126,0.34817075729370117,0.02387523651123047,9
gather_extreme_points,3186,25.46491241455078,0.41747331619262695,44
fit_ellipse,3186,0.10853052139282227,0.0021514892578125,44
transform_ellipses_to_circle_1,140,0.8632149696350098,0.06254386901855469,10
dbscan_clustering,990,334.71206879615784,6.896568298339844,20
find_center,135,0.37134671211242676,0.023175954818725586,9
gather_extreme_points,3232,25.88399887084961,0.4190864562988281,46
fit_ellipse,3232,0.11004996299743652,0.0015194416046142578,46
transform_ellipses_to_circle_1,150,0.9238846302032471,0.060669660568237305,10
dbscan_clustering,1012,343.0378065109253,8.325737714767456,22
find_center,144,0.3945634365081787,0.023216724395751953,9
gather_extreme_points,3282,26.376885175704956,0.4928863048553467,50
fit_ellipse,3282,0.11219382286071777,0.00214385986328125,50
transform_ellipses_to_circle_1,160,0.9838943481445312,0.06000971794128418,10
dbscan_clustering,1031,350.3311252593994,7.293318748474121,19
find_center,153,0.4173266887664795,0.02276325225830078,9
gather_extreme_points,3326,26.843005895614624,0.46612071990966797,44
fit_ellipse,3326,0.1139521598815918,0.0017583370208740234,44
transform_ellipses_to_circle_1,170,1.0437145233154297,0.05982017517089844,10
dbscan_clustering,1306,411.17138862609863,60.84026336669922,275
find_center,162,0.4420967102050781,0.024770021438598633,9
gather_extreme_points,4297,32.40833044052124,5.565324544906616,971
fit_ellipse,4297,0.14675378799438477,0.03280162811279297,971
transform_ellipses_to_circle_1,180,1.1015040874481201,0.05778956413269043,10
dbscan_clustering,1325,418.41732954978943,7.245940923690796,19
find_center,171,0.466583251953125,0.024486541748046875,9
gather_extreme_points,4341,32.86910820007324,0.46077775955200195,44
fit_ellipse,4341,0.14856529235839844,0.0018115043640136719,44
transform_ellipses_to_circle_1,190,1.1628103256225586,0.06130623817443848,10
dbscan_clustering,1344,425.4473271369934,7.0299975872039795,19
find_center,180,0.4922196865081787,0.02563643455505371,9
gather_extreme_points,4385,33.32664942741394,0.45754122734069824,44
fit_ellipse,4385,0.15034079551696777,0.001775503158569336,44
transform_ellipses_to_circle_1,200,1.2232038974761963,0.060393571853637695,10
dbscan_clustering,1363,432.74359941482544,7.296272277832031,19
find_center,189,0.5186276435852051,0.026407957077026367,9
gather_extreme_points,4429,33.78083038330078,0.4541809558868408,44
fit_ellipse,4429,0.15227532386779785,0.0019345283508300781,44
transform_ellipses_to_circle_1,210,1.2885713577270508,0.06536746025085449,10
dbscan_clustering,1382,439.84103536605835,7.09743595123291,19
find_center,198,0.5419340133666992,0.02330636978149414,9
gather_extreme_points,4473,34.233909368515015,0.4530789852142334,44
fit_ellipse,4473,0.1541900634765625,0.0019147396087646484,44
transform_ellipses_to_circle_1,220,1.349236011505127,0.06066465377807617,10
dbscan_clustering,1615,493.1108253002167,53.269789934158325,233
find_center,207,0.5665378570556641,0.024603843688964844,9
gather_extreme_points,5303,39.093143463134766,4.859234094619751,830
fit_ellipse,5303,0.1819610595703125,0.02777099609375,830
transform_ellipses_to_circle_1,230,1.4070382118225098,0.05780220031738281,10
dbscan_clustering,1634,499.9097149372101,6.798889636993408,19
find_center,216,0.593315839767456,0.026777982711791992,9
gather_extreme_points,5347,39.466094732284546,0.3729512691497803,44
fit_ellipse,5347,0.18383312225341797,0.0018720626831054688,44
transform_ellipses_to_circle_1,240,1.467437982559204,0.060399770736694336,10
dbscan_clustering,1653,507.13241505622864,7.222700119018555,19
find_center,225,0.6166160106658936,0.0233001708984375,9
gather_extreme_points,5391,39.93057465553284,0.464479923248291,44
fit_ellipse,5391,0.18550944328308105,0.001676321029663086,44
transform_ellipses_to_circle_1,250,1.528503656387329,0.061065673828125,10
dbscan_clustering,1672,514.2318096160889,7.0993945598602295,19
find_center,234,0.6410388946533203,0.024422883987426758,9
gather_extreme_points,5435,40.40325570106506,0.47268104553222656,44
fit_ellipse,5435,0.187147855758667,0.0016384124755859375,44
transform_ellipses_to_circle_1,260,1.5919101238250732,0.06340646743774414,10
dbscan_clustering,1758,546.0155818462372,31.783772230148315,86
find_center,243,0.6643316745758057,0.02329277992248535,9
gather_extreme_points,5683,42.73781943321228,2.334563732147217,248
fit_ellipse,5683,0.19573163986206055,0.008583784103393555,248
transform_ellipses_to_circle_1,270,1.6522555351257324,0.06034541130065918,10
dbscan_clustering,1785,557.320818901062,11.305237054824829,27
find_center,252,0.6876809597015381,0.023349285125732422,9
gather_extreme_points,5759,43.504650831222534,0.7668313980102539,76
fit_ellipse,5759,0.19870328903198242,0.002971649169921875,76
transform_ellipses_to_circle_1,280,1.7120935916900635,0.059838056564331055,10
dbscan_clustering,1807,565.5651452541351,8.24432635307312,22
find_center,261,0.7108340263366699,0.023153066635131836,9
gather_extreme_points,5809,43.99846649169922,0.49381566047668457,50
fit_ellipse,5809,0.20058012008666992,0.0018768310546875,50
transform_ellipses_to_circle_1,290,1.7711005210876465,0.05900692939758301,10
dbscan_clustering,1826,572.8186326026917,7.2534873485565186,19
find_center,270,0.740079402923584,0.029245376586914062,9
gather_extreme_points,5853,44.47422480583191,0.47575831413269043,44
fit_ellipse,5853,0.2023482322692871,0.0017681121826171875,44
transform_ellipses_to_circle_1,300,1.8330318927764893,0.06193137168884277,10
dbscan_clustering,1845,579.5431973934174,6.724564790725708,19
find_center,279,0.7694911956787109,0.029411792755126953,9
gather_extreme_points,5897,44.90659260749817,0.43236780166625977,44
fit_ellipse,5897,0.20377659797668457,0.001428365707397461,44
transform_ellipses_to_circle_1,310,1.8932099342346191,0.06017804145812988,10
dbscan_clustering,1864,586.5886895656586,7.045492172241211,19
find_center,288,0.7931036949157715,0.023612499237060547,9
gather_extreme_points,5941,45.358858823776245,0.45226621627807617,44
fit_ellipse,5941,0.2055821418762207,0.0018055438995361328,44
transform_ellipses_to_circle_1,320,1.9541246891021729,0.06091475486755371,10
dbscan_clustering,1883,593.7647454738617,7.176055908203125,19
find_center,297,0.8175666332244873,0.02446293830871582,9
gather_extreme_points,5985,45.826797008514404,0.4679381847381592,44
fit_ellipse,5985,0.20709681510925293,0.0015146732330322266,44
transform_ellipses_to_circle_1,330,2.014277935028076,0.06015324592590332,10
dbscan_clustering,1902,600.6326115131378,6.867866039276123,19
find_center,306,0.8539245128631592,0.036357879638671875,9
gather_extreme_points,6029,46.26814031600952,0.4413433074951172,44
fit_ellipse,6029,0.2086653709411621,0.0015685558319091797,44
transform_ellipses_to_circle_1,340,2.074023485183716,0.05974555015563965,10
dbscan_clustering,2177,694.3456318378448,93.71302032470703,275
find_center,315,0.8781776428222656,0.024253129959106445,9
gather_extreme_points,7000,53.74028205871582,7.472141742706299,971
fit_ellipse,7000,0.2390735149383545,0.030408143997192383,971
transform_ellipses_to_circle_1,350,2.1345229148864746,0.06049942970275879,10
dbscan_clustering,2196,701.4585795402527,7.112947702407837,19
find_center,324,0.9035947322845459,0.025417089462280273,9
gather_extreme_points,7044,54.20849418640137,0.4682121276855469,44
fit_ellipse,7044,0.24074006080627441,0.0016665458679199219,44
